Strategy,Ann Ret,Ann Vol,Sharpe,Max DD,Family
MSR(Ensemble_μ̂),0.1660872541180118,0.0602891310367625,2.5794640246181704,-0.0591598928907408,ML (ensemble)
VMP(MDP(LW)),0.1490878311528443,0.0580836578061121,2.422221500168358,-0.0484451647048085,Classical
MSR(RF_μ̂),0.2089168859864878,0.0806175377014204,2.394466858453879,-0.0683476143712622,ML (single-fit)
MSR(MLP_μ̂),0.2241330876928446,0.088891006958039,2.3201068790860564,-0.0855153665388424,DL (single-fit)
SignalTilt(XGB),0.7067568513864679,0.2451618852762958,2.304061855831894,-0.2263499921759599,ML (single-fit)
SignalTilt(EnsembleDL_weighted),0.5879792552337937,0.2113324737233483,2.2952737290914187,-0.2387727316632835,DL (weighted ensemble)
VMP(SignalTilt(XGB)),0.7196939038829706,0.2502097147062355,2.292477590981001,-0.2051556691009184,ML + VMP
SignalTilt(EnsembleDL),0.5923062992585881,0.2129802825059772,2.2919398191506692,-0.2401878683993606,DL (ensemble)
DW(Transformer)[Sharpe],0.0807648979770581,0.03421532407243983,2.2874288124189768,-0.026142580682554314,DL (direct-weight)
SignalTilt(Transformer),0.4996509251651524,0.1850753672819155,2.283335061380812,-0.2207531854158529,DL (single-fit)
MSR(Lasso_μ̂),0.2180051754871581,0.0885767184756644,2.2715162709944305,-0.1161671704878054,ML (single-fit)
SignalTilt(MLP),0.6684482233046432,0.2382764467278248,2.268963163811266,-0.2667021158141549,DL (single-fit)
VMP(MSR(Lasso_μ̂)),0.2267118618165922,0.0925368213070852,2.2552917576174183,-0.0982374148996048,ML + VMP
SignalTilt(RF),0.6194111140824536,0.2254869999278264,2.2520024928868314,-0.3258471920042494,ML (single-fit)
SignalTilt(LSTM),0.5569673303941671,0.2080253460921989,2.2333497068698915,-0.2299813989190505,DL (single-fit)
VMP(SignalTilt(RF)),0.6075496924459405,0.2278448326543319,2.198938154807291,-0.2817907451084231,ML + VMP
MSR(Transformer_μ̂),0.225595971796001,0.0951625600063994,2.18599573759213,-0.1224241575155407,DL (single-fit)
SignalTilt(Ensemble),0.5477219758317635,0.2103593727762119,2.182708375911273,-0.3007029498173383,ML (ensemble)
MSR(XGB_μ̂),0.076560581371035,0.034110686976331,2.1800399108129755,-0.026274751347843,ML (single-fit)
VMP(MSR(RF_μ̂)),0.1957369827204489,0.0837503002218672,2.1770799252211432,-0.0715469219074188,ML + VMP
MSR(EnsembleDL_μ̂_weighted),0.2325888927274626,0.0994247251409411,2.153680236233866,-0.1284112399609502,DL (weighted ensemble)
MSR(EnsembleDL_μ̂),0.233176620537475,0.1000160291337673,2.146296909465964,-0.1289537463498626,DL (ensemble)
SignalTilt(Lasso),0.467216739106312,0.1874602809945184,2.139852197408594,-0.2281094069035669,ML (single-fit)
DW(MLP)[CRRA+Shrink],0.23847297781226628,0.10319513707874427,2.124820592048361,-0.12474287050482176,DL (direct-weight)
SWITCH(v2a),0.1896227979088076,0.083789470980457,2.114334439916281,-0.057104814483461,Classical
DW(Transformer)[CRRA],0.17043651727178188,0.07593539794189662,2.1109823577151494,-0.0669024672138026,DL (direct-weight)
DW(LSTM)[CRRA+Shrink],0.23764184185997572,0.10406053316875695,2.10154980746501,-0.12692559917037974,DL (direct-weight)
DW(Transformer)[CRRA+Shrink],0.2300396993242635,0.10144065768426283,2.092403472909435,-0.12374053387560026,DL (direct-weight)
EW,0.2219786319180394,0.100931358094357,2.0373184002405247,-0.1216037225623238,Classical
SignalTilt(WF-lasso-default),0.5516459466925776,0.229047610761343,2.0334579038020437,-0.2312253279995068,Walk-forward (default HPs)
MSR(LSTM_μ̂),0.2403108079488889,0.1097640510748882,2.0175441651892334,-0.1433121650178193,DL (single-fit)
SignalTilt(WF-lasso-val_optimal),0.5655190802677068,0.2376021191221731,2.006474508533661,-0.2289523209387866,Walk-forward (val-optimal HPs)
VMP(MSR(XGB_μ̂)),0.0750104183093665,0.0364125386091343,2.004881723728551,-0.0258750646264362,ML + VMP
VMP(SignalTilt(Lasso)),0.4486470143513492,0.1951397353265533,1.998032843370304,-0.1844680655225175,ML + VMP
