config,arch,feat_variant,loss,sharpe_mean,sharpe_std,sharpe_min,sharpe_max
MLP_daily_sharpe,MLP,daily-only,sharpe,1.0501066885472987,0.2669995818652209,0.5599841380820927,1.5243921108059468
MLP_daily_crra,MLP,daily-only,crra,0.9648939306144821,0.2169856974501528,0.5150917745140259,1.306278403190732
MLP_daily_crra_shrinkage,MLP,daily-only,crra_shrinkage,1.2389126311627998,0.007900843088588355,1.2267435603095416,1.2555657664970337
MLP_dailyrp_sharpe,MLP,daily+RP,sharpe,0.7008678316941996,0.35573794339993065,-0.01647611771174151,1.145341137566442
MLP_dailyrp_crra,MLP,daily+RP,crra,0.7421781734391368,0.4859469873740471,-0.4037409202432504,1.1028580579075027
MLP_dailyrp_crra_shrinkage,MLP,daily+RP,crra_shrinkage,1.2364850706478072,0.008507113945658276,1.2230845517721447,1.248457342950243
LSTM_daily_sharpe,LSTM,daily-only,sharpe,0.6898410301712521,0.31178400394188577,0.13282940746724672,1.0358471601621577
LSTM_daily_crra,LSTM,daily-only,crra,0.8490775835711916,0.29607789333313705,0.09717218833068605,1.099937215816826
LSTM_daily_crra_shrinkage,LSTM,daily-only,crra_shrinkage,1.2368389875469317,0.004959284534273885,1.2285698218675465,1.2437922003765094
LSTM_dailyrp_sharpe,LSTM,daily+RP,sharpe,0.8598294246514704,0.17982166677831943,0.5071729661493354,1.1589385552979061
LSTM_dailyrp_crra,LSTM,daily+RP,crra,0.937407795461568,0.1093334100656424,0.811483137655219,1.1180897336686764
LSTM_dailyrp_crra_shrinkage,LSTM,daily+RP,crra_shrinkage,1.2395073325702264,0.0050859786883440915,1.2323507571966263,1.247719932257333
Transformer_daily_sharpe,Transformer,daily-only,sharpe,0.9895540334098015,0.2755003719378604,0.4908243757016803,1.5499750558677827
Transformer_daily_crra,Transformer,daily-only,crra,0.863654256347211,0.23309182038380044,0.4846568019681466,1.2298807895793384
Transformer_daily_crra_shrinkage,Transformer,daily-only,crra_shrinkage,1.122887863253032,0.02997070478756837,1.0773436546501025,1.1669318156971105
Transformer_dailyrp_sharpe,Transformer,daily+RP,sharpe,0.8208095097528749,0.2717925162071644,0.17686765073651872,1.3228759006071613
Transformer_dailyrp_crra,Transformer,daily+RP,crra,0.8199617886298212,0.2794314554923369,0.053148091224136454,1.0358471601621577
Transformer_dailyrp_crra_shrinkage,Transformer,daily+RP,crra_shrinkage,1.1200995549507902,0.03060526955571415,1.0601330602939718,1.1600242136416654
