asset_class_left,asset_class_right,average_correlation,observations
us_single_stock,us_single_stock,0.3941854454904088,56
us_single_stock,us_sector_etf,0.5089045641788247,48
us_single_stock,broad_equity_etf,0.5994861091700029,16
us_single_stock,intl_equity_etf,0.5092932938269659,24
us_single_stock,fixed_income_etf,-0.03883020246082165,40
us_single_stock,commodity_etf,0.15665898930851963,32
us_single_stock,fx_spot,0.07151501383003195,8
us_sector_etf,us_single_stock,0.5089045641788247,48
us_sector_etf,us_sector_etf,0.6017920702266986,30
us_sector_etf,broad_equity_etf,0.7392433949298319,12
us_sector_etf,intl_equity_etf,0.6253403624116692,18
us_sector_etf,fixed_income_etf,-0.019919360761215713,30
us_sector_etf,commodity_etf,0.2162433075927824,24
us_sector_etf,fx_spot,0.08131252981263255,6
broad_equity_etf,us_single_stock,0.5994861091700029,16
broad_equity_etf,us_sector_etf,0.7392433949298319,12
broad_equity_etf,broad_equity_etf,0.8943789466102895,2
broad_equity_etf,intl_equity_etf,0.7637372823959453,6
broad_equity_etf,fixed_income_etf,-0.036643207127160314,10
broad_equity_etf,commodity_etf,0.2505954875610116,8
broad_equity_etf,fx_spot,0.11076010273338549,2
intl_equity_etf,us_single_stock,0.5092932938269659,24
intl_equity_etf,us_sector_etf,0.6253403624116693,18
intl_equity_etf,broad_equity_etf,0.7637372823959452,6
intl_equity_etf,intl_equity_etf,0.8291335448088283,6
intl_equity_etf,fixed_income_etf,-0.03331271183809532,15
intl_equity_etf,commodity_etf,0.2928476621140406,12
intl_equity_etf,fx_spot,0.12304228452078421,3
fixed_income_etf,us_single_stock,-0.03883020246082165,40
fixed_income_etf,us_sector_etf,-0.019919360761215667,30
fixed_income_etf,broad_equity_etf,-0.036643207127160314,10
fixed_income_etf,intl_equity_etf,-0.03331271183809534,15
fixed_income_etf,fixed_income_etf,0.4262266261845256,20
fixed_income_etf,commodity_etf,0.039592020464697536,20
fixed_income_etf,fx_spot,0.04243273275888414,5
commodity_etf,us_single_stock,0.15665898930851963,32
commodity_etf,us_sector_etf,0.2162433075927824,24
commodity_etf,broad_equity_etf,0.2505954875610116,8
commodity_etf,intl_equity_etf,0.29284766211404056,12
commodity_etf,fixed_income_etf,0.039592020464697536,20
commodity_etf,commodity_etf,0.4752369386216339,12
commodity_etf,fx_spot,0.09016975668936841,4
fx_spot,us_single_stock,0.07151501383003195,8
fx_spot,us_sector_etf,0.08131252981263255,6
fx_spot,broad_equity_etf,0.11076010273338549,2
fx_spot,intl_equity_etf,0.12304228452078421,3
fx_spot,fixed_income_etf,0.04243273275888414,5
fx_spot,commodity_etf,0.09016975668936841,4
fx_spot,fx_spot,,0
