component,explained_variance,explained_variance_ratio,cumulative_explained_variance_ratio,sign_anchor_asset
PC1,12.423719540612819,0.4284041220900974,0.4284041220900974,SPY.US
PC2,3.267759757671543,0.11268137095419119,0.5410854930442885,AGG.US
PC3,2.3721728274054636,0.08179906301398153,0.6228845560582701,DBC.US
PC4,1.4707104468383232,0.05071415333925254,0.6735987093975226,NVDA.US
PC5,1.2460057279747976,0.042965714757751655,0.7165644241552743,GLD.US
PC6,1.0127373706138323,0.034921978297028713,0.751486402452303,EURUSD.FOREX
PC7,0.8984130169636764,0.030979759205644025,0.782466161657947,EURUSD.FOREX
PC8,0.6836873472497503,0.023575425767232778,0.8060415874251798,WMT.US
PC9,0.6722884478521007,0.023182360270762103,0.829223947695942,FXI.US
PC10,0.5579947097199739,0.01924119688689566,0.8484651445828376,HYG.US
PC11,0.5455136319900316,0.018810814896207992,0.8672759594790456,NVDA.US
PC12,0.5033919090225875,0.017358341690434057,0.8846343011694796,NVDA.US
PC13,0.4463500775389449,0.015391381984101555,0.9000256831535811,AAPL.US
PC14,0.4363815561504058,0.015047639867255378,0.9150733230208364,SHY.US
PC15,0.42047744102393136,0.0144992221042735,0.9295725451251099,XLU.US
PC16,0.3822564571981178,0.013181257144762688,0.9427538022698726,MSFT.US
PC17,0.2694593791131956,0.009291702728041232,0.9520455049979138,XLV.US
PC18,0.21673269383355231,0.007473541166674221,0.959519046164588,AGG.US
PC19,0.20498584122909985,0.007068477283762067,0.9665875234483501,XLP.US
PC20,0.18046261436120634,0.006222848771076083,0.9728103722194261,SLV.US
PC21,0.1675492785899477,0.0057775613306878535,0.978587933550114,XLV.US
PC22,0.1441194111209802,0.004969634866240699,0.9835575684163547,EFA.US
PC23,0.11799272893539119,0.00406871479087556,0.9876262832072302,DBC.US
PC24,0.08427715734570922,0.002906108873989974,0.9905323920812202,XLK.US
PC25,0.07977273573093543,0.0027507839907219126,0.9932831760719422,XLE.US
PC26,0.06812957968562783,0.002349295851228547,0.9956324719231707,XLF.US
PC27,0.061530315823226295,0.0021217350283871143,0.9977542069515578,EEM.US
PC28,0.04797821945968789,0.0016544213606788933,0.9994086283122368,IEF.US
PC29,0.017149778945133823,0.0005913716877632355,1.0,SPY.US
