date,dominant_regime,macro_context
2007-04-20,1.0,regime_1
2007-04-27,1.0,regime_1
2007-05-04,2.0,regime_2
2007-05-11,2.0,regime_2
2007-05-18,2.0,regime_2
2007-05-25,2.0,regime_2
2007-06-01,0.0,regime_0
2007-06-08,0.0,regime_0
2007-06-15,0.0,regime_0
2007-06-22,0.0,regime_0
2007-06-29,0.0,regime_0
2007-07-06,5.0,regime_5
2007-07-13,5.0,regime_5
2007-07-20,5.0,regime_5
2007-07-27,5.0,regime_5
2007-08-03,4.0,regime_4
2007-08-10,4.0,regime_4
2007-08-17,4.0,regime_4
2007-08-24,4.0,regime_4
2007-08-31,0.0,regime_0
2007-09-07,0.0,regime_0
2007-09-14,0.0,regime_0
2007-09-21,0.0,regime_0
2007-09-28,0.0,regime_0
2007-10-05,0.0,regime_0
2007-10-12,0.0,regime_0
2007-10-19,0.0,regime_0
2007-10-26,0.0,regime_0
2007-11-02,0.0,regime_0
2007-11-09,0.0,regime_0
2007-11-16,0.0,regime_0
2007-11-23,0.0,regime_0
2007-11-30,1.0,regime_1
2007-12-07,1.0,regime_1
2007-12-14,1.0,regime_1
2007-12-21,1.0,regime_1
2007-12-28,1.0,regime_1
2008-01-04,1.0,regime_1
2008-01-11,1.0,regime_1
2008-01-18,1.0,regime_1
2008-01-25,1.0,regime_1
2008-02-01,7.0,regime_7
2008-02-08,7.0,regime_7
2008-02-15,7.0,regime_7
2008-02-22,7.0,regime_7
2008-02-29,7.0,regime_7
2008-03-07,7.0,regime_7
2008-03-14,7.0,regime_7
2008-03-21,7.0,regime_7
2008-03-28,7.0,regime_7
2008-04-04,7.0,regime_7
2008-04-11,7.0,regime_7
2008-04-18,7.0,regime_7
2008-04-25,7.0,regime_7
2008-05-02,7.0,regime_7
2008-05-09,7.0,regime_7
2008-05-16,7.0,regime_7
2008-05-23,7.0,regime_7
2008-05-30,7.0,regime_7
2008-06-06,0.0,regime_0
2008-06-13,0.0,regime_0
2008-06-20,0.0,regime_0
2008-06-27,0.0,regime_0
2008-07-04,5.0,regime_5
2008-07-11,5.0,regime_5
2008-07-18,5.0,regime_5
2008-07-25,5.0,regime_5
2008-08-01,5.0,regime_5
2008-08-08,5.0,regime_5
2008-08-15,5.0,regime_5
2008-08-22,5.0,regime_5
2008-08-29,5.0,regime_5
2008-09-05,5.0,regime_5
2008-09-12,5.0,regime_5
2008-09-19,5.0,regime_5
2008-09-26,5.0,regime_5
2008-10-03,5.0,regime_5
2008-10-10,5.0,regime_5
2008-10-17,5.0,regime_5
2008-10-24,5.0,regime_5
2008-10-31,7.0,regime_7
2008-11-07,7.0,regime_7
2008-11-14,7.0,regime_7
2008-11-21,7.0,regime_7
2008-11-28,7.0,regime_7
2008-12-05,7.0,regime_7
2008-12-12,7.0,regime_7
2008-12-19,7.0,regime_7
2008-12-26,7.0,regime_7
2009-01-02,7.0,regime_7
2009-01-09,7.0,regime_7
2009-01-16,7.0,regime_7
2009-01-23,7.0,regime_7
2009-01-30,7.0,regime_7
2009-02-06,0.0,regime_0
2009-02-13,0.0,regime_0
2009-02-20,0.0,regime_0
2009-02-27,0.0,regime_0
2009-03-06,7.0,regime_7
2009-03-13,7.0,regime_7
2009-03-20,7.0,regime_7
2009-03-27,7.0,regime_7
2009-04-03,7.0,regime_7
2009-04-10,7.0,regime_7
2009-04-17,7.0,regime_7
2009-04-24,7.0,regime_7
