date,window_start,window_end,observations,n_assets,n_components,pc1_explained_variance_ratio,pc2_explained_variance_ratio,pc3_explained_variance_ratio,pc4_explained_variance_ratio,pc5_explained_variance_ratio,pc1_pc5_cumulative_explained_variance_ratio,reconstruction_rmse,reconstruction_mae
2012-04-06,2007-04-20,2012-04-06,260,29,5,0.4812159241128737,0.10494367758880095,0.09497621843569734,0.04217958337876742,0.03762109073461599,0.7609364942507554,0.33107937504453805,0.26243417578332534
2012-04-13,2007-04-27,2012-04-13,260,29,5,0.48172426594010326,0.10476070140812502,0.09462174455276906,0.04233617063710343,0.037581878928438874,0.7610247614665396,0.2960057472034514,0.21647494060084113
2012-04-20,2007-05-04,2012-04-20,260,29,5,0.4815530563316954,0.10487006643106536,0.09467518469998475,0.04255836638406522,0.0374481663535815,0.7611048402003922,0.3958258148842224,0.2988088643791246
2012-04-27,2007-05-11,2012-04-27,260,29,5,0.48136142170809304,0.10479538273135311,0.09462763280359072,0.04252072021423172,0.03746422430503571,0.7607693817623044,0.48400924751192564,0.3274431194078839
2012-05-04,2007-05-18,2012-05-04,260,29,5,0.48207049433432997,0.1049018575762047,0.0944211008918087,0.0424621887461532,0.037302476240420476,0.761158117788917,0.2323317664624694,0.184615619333441
2012-05-11,2007-05-25,2012-05-11,260,29,5,0.48193086585958206,0.1050831968309148,0.09437033101149721,0.04230841751318497,0.037497033152942304,0.7611898443681212,0.3237011986766858,0.25140229783247015
2012-05-18,2007-06-01,2012-05-18,260,29,5,0.48266112504251507,0.10490986148586012,0.09407038055549474,0.04242263337730126,0.0373642665660281,0.7614282670271992,0.5431903552213002,0.33166132997238224
2012-05-25,2007-06-08,2012-05-25,260,29,5,0.48232378492120137,0.10517251743537266,0.09413586537221569,0.042412051463591574,0.03735366309021768,0.7613978822825991,0.38477508560870677,0.26922923327829124
2012-06-01,2007-06-15,2012-06-01,260,29,5,0.4832754382330934,0.105044240393602,0.0931895215012626,0.04249546020223309,0.03719597207665904,0.76120063240685,0.5133026428860092,0.3946002904229012
2012-06-08,2007-06-22,2012-06-08,260,29,5,0.48421989726448755,0.10499102110089586,0.09293612391029105,0.04255035611540221,0.03724523448455393,0.7619426328756307,0.3047984034906008,0.2176084979545924
2012-06-15,2007-06-29,2012-06-15,260,29,5,0.4845290425027708,0.10488178337875546,0.09307596406184451,0.04203601906921698,0.03709591855022518,0.7616187275628129,0.39235100065625106,0.2816394902599719
2012-06-22,2007-07-06,2012-06-22,260,29,5,0.4843860984091714,0.1050988336814961,0.09321523329159377,0.04201966644398317,0.037082868973470164,0.7618027007997146,0.32854678680332833,0.2753167137206117
2012-06-29,2007-07-13,2012-06-29,260,29,5,0.4842445847823568,0.10492738053330299,0.09321711549758595,0.04210256765766519,0.03710147521954492,0.7615931236904558,0.33147806934470014,0.2754699866835963
2012-07-06,2007-07-20,2012-07-06,260,29,5,0.48413200119476707,0.10492196390004939,0.09300998991246331,0.04213561112706323,0.037167279884344644,0.7613668460186876,0.3849775997625939,0.27032161619920575
